action_id,benchmark_required,candidate_only_warning,change_id,change_type,cycle4_criterion,cycle4_title,department_candidate,evidence_focus,notice_required,preparation_task,priority,risk_level,section_type,source_id_3,source_id_4,verification_status,action_type,primary_department,support_departments,data_period,metric_or_threshold,evidence_link,confirmed_by,confirmed_at,source_support_level,official_confirmation_needed
act_00001,false,Department/risk values are operational candidates for review.,chg_00001,신설후보,1.1,교육목표 및 발전계획,"기획처, 교무처",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",1,high,overview,c3__1_1__overview__content,c4__1_1__overview__content,needs_review,new_requirement_review,기획처,교무처,,,c4__1_1__overview__content,,,source_json_comparative_candidate,true
act_00002,false,Department/risk values are operational candidates for review.,chg_00002,삭제/이동후보,1.1,교육목표 및 발전계획,"기획처, 교무처",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",1,high,overview,c3__1_2__overview__content,,needs_review,deletion_or_move_review,기획처,교무처,,,c3__1_2__overview__content,,,source_json_single_side_review,true
act_00003,false,Department/risk values are operational candidates for review.,chg_00003,신설후보,1.2,거버넌스와 감사,"기획처, 감사부서",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 합리적인 의사결정구조를 구축하고 운영하여 경쟁력을 강화하고 있으며, 대학 운영에 구성원의 참여와 소통이 원활하게 이루어지고 있다. 대학경영 및 예산의 편성·집행이 합리적이고 투명하게 이루어질 수 있도록 엄격한 감사제도를 운영하고, 감사 결과를 대학 운영에 충실히 반영하며 대학구성원과 외부에 공개하고 있다. 또한 대학은 공익제보에 필요한 절차와 제도를 자체적으로 운영하고 있다.",2,medium,overview,c3__1_6__overview__content,c4__1_2__overview__content,needs_review,new_requirement_review,기획처,감사부서,,,c4__1_2__overview__content,,,source_json_comparative_candidate,true
act_00004,false,Department/risk values are operational candidates for review.,chg_00004,삭제/이동후보,1.2,거버넌스와 감사,"기획처, 감사부서",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 합리적으로 대학 의사결정구조를 구축하고 운영하여 경쟁력을 강화하고 있다. 또한 대학 운영에 대학 구성원의 참여와 소통이 원활하게 이루어지고 있다.,1,high,overview,c3__1_3__overview__content,,needs_review,deletion_or_move_review,기획처,감사부서,,,c3__1_3__overview__content,,,source_json_single_side_review,true
act_00005,false,Department/risk values are operational candidates for review.,chg_00005,변경,1.3,재정 확보 및 집행,"기획처, 재무회계팀",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 교육목표를 달성하기 위해 재정 운영 계획을 수립하고 이에 따라 필요한 재원을 안정적으로 확보하고 있으며, 지속적인 재원 확충을 위해 재원을 다양화하고 있다. 그리고 확보된 재원을 효율적으로 운영하기 위한 계획을 수립하고, 합리적 절차에 따라 예산을 편성·집행하며 학생들을 위한 교육활동에 적절히 환원하고 있다. 또한 예산 편성·집행 결과를 평가하여 대학재정 운영에 반영하고 있다.",1,high,overview,c3__1_5__overview__content,c4__1_3__overview__content,needs_review,content_change_review,기획처,재무회계팀,,,c4__1_3__overview__content,,,source_json_comparative_candidate,true
act_00006,false,Department/risk values are operational candidates for review.,chg_00006,삭제/이동후보,1.3,재정 확보 및 집행,"기획처, 재무회계팀",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 교육목표를 달성하기 위해 재정 운영 계획을 수립하고 이에 따라 필요한 재원을 안정적으로 확보하고 있으며, 지속적인 재원 확충을 위해 재원을 다양화하고 있다.",2,medium,overview,c3__1_4__overview__content,,needs_review,deletion_or_move_review,기획처,재무회계팀,,,c3__1_4__overview__content,,,source_json_single_side_review,true
act_00007,false,Department/risk values are operational candidates for review.,chg_00007,변경,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 대학경영 및 교육·연구 전반에 대한 질 관리를 위하여 주기적으로 중장기 발전계획의 이행점검에 따른 성과평가, 대학 자체평가를 시행하는 등 다양한 방식으로 성과관리를 하고 있으며, 그 결과를 교육·연구와 대학 운영에 충실히 반영하고 대학 구성원이나 외부에 공개하는 등의 성과관리체계를 운영하고 있다.",2,medium,overview,c3__5_1__overview__content,c4__1_4__overview__content,candidate,content_change_review,기획처,성과관리 담당부서,,,c4__1_4__overview__content,,,source_json_comparative_candidate,true
act_00008,false,Department/risk values are operational candidates for review.,chg_00008,신설후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 교육목적에 부합하는 학생을 충원하여 유지하고, 학생학습성과 관리 체계에 따른 운영과 교육만족도 조사 결과에 따른 환류 체계를 갖추고 있으며, 졸업생의 취·창업 및 진학 등 진로 성과를 높이기 위한 노력을 기울이고 있다.",1,high,overview,c3__5_2__overview__content,c4__1_5__overview__content,needs_review,new_requirement_review,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__overview__content,,,source_json_comparative_candidate,true
act_00009,false,Department/risk values are operational candidates for review.,chg_00009,삭제/이동후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 학생들의 진로와 취·창업을 위한 지원체계를 구축하고 예산과 전문 인력을 확보하여 운영하고 있으며 지속적인 개선을 위한 노력을 하고 있다.,1,high,overview,c3__5_4__overview__content,,needs_review,deletion_or_move_review,기획처,교무처;교육혁신원;취·창업지원부서,,,c3__5_4__overview__content,,,source_json_single_side_review,true
act_00010,true,Department/risk values are operational candidates for review.,chg_00010,신설후보,1.6,사회공헌 및 지역사회 연계·협력,"사회공헌 담당부서, 지역협력부서, 산학협력단",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 건학이념과 교육목표에 부합하는 사회봉사 정책 및 사회공헌 활동 계획 등을 마련하고 있고, 다양한 사회봉사 및 사회공헌 활동을 추진하고 있으며, 지역사회(대학) 및 해외기관과 긴밀히 교류하고 연계·협력 체계를 갖추고 있다.",2,medium,overview,c3__5_5__overview__content,c4__1_6__overview__content,needs_review,new_requirement_review,사회공헌 담당부서,지역협력부서;산학협력단,,,c4__1_6__overview__content,,,source_json_comparative_candidate,true
act_00011,true,Department/risk values are operational candidates for review.,chg_00011,삭제/이동후보,1.6,사회공헌 및 지역사회 연계·협력,"사회공헌 담당부서, 지역협력부서, 산학협력단",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 지역대학 및 지역사회와 긴밀히 교류하고 인적·물적자원을 공유하기 위한 연계·협력 체계를 갖추고 있다.,1,high,overview,c3__5_6__overview__content,,needs_review,deletion_or_move_review,사회공헌 담당부서,지역협력부서;산학협력단,,,c3__5_6__overview__content,,,source_json_single_side_review,true
act_00012,true,Department/risk values are operational candidates for review.,chg_00012,변경,2.1,교육과정 체계,"교무처, 교육과정 담당부서",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 교육목표와 인재상에 기초하여 합리적인 교육과정 체계에 따라 교양 및 전공교육과정을 균형있게 편성·운영하고 있으며, 학생 요구 및 변화하는 사회적·학문적 요구를 반영하여 교육과정을 개선하고 있다.",2,medium,overview,c3__2_1__overview__content,c4__2_1__overview__content,candidate,content_change_review,교무처,교육과정 담당부서,,,c4__2_1__overview__content,,,source_json_comparative_candidate,true
act_00013,true,Department/risk values are operational candidates for review.,chg_00013,변경,2.2,교양교육과정,"교무처, 교육과정 담당부서",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 교육목표와 인재상을 실현하고 학생의 선택권을 보장할 수 있는 교양교육과정을 편성하여 운영하고 있다.,2,medium,overview,c3__2_2__overview__content,c4__2_2__overview__content,candidate,content_change_review,교무처,교육과정 담당부서,,,c4__2_2__overview__content,,,source_json_comparative_candidate,true
act_00014,true,Department/risk values are operational candidates for review.,chg_00014,변경,2.3,전공교육과정,"교무처, 교육과정 담당부서",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 전공의 교육목표와 인재상을 기초로 전공교육과정을 체계적으로 편성하여 운영하고 학생의 진로에 따라 이수가 가능하도록 지원하고 있다.,2,medium,overview,c3__2_3__overview__content,c4__2_3__overview__content,candidate,content_change_review,교무처,교육과정 담당부서,,,c4__2_3__overview__content,,,source_json_comparative_candidate,true
act_00015,false,Department/risk values are operational candidates for review.,chg_00016,유지,2.5,수업,"교무처, 교육과정 담당부서",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 교수가 적정 시수 범위에서 수업을 담당하도록 하고 수업을 지원하는 정보체계를 운영하며 수업에 대한 평가를 실시하여 수업의 질을 지속적으로 향상하고 있다.,2,medium,overview,c3__2_5__overview__content,c4__2_5__overview__content,needs_review,monitoring_review,교무처,교육과정 담당부서,,,c4__2_5__overview__content,,,source_json_comparative_candidate,true
