source_id,verification_status,cycle,criterion,title,section_type,section_label,source_file_date,json_path,item_path,field_name,item_no,subitem_no,parent_source_id,source_kind,content_level,content,content_hash,source_files,input_positions,occurrence_count
c3__1_1__checkpoints__item:1,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].content,item:1,items,1,,,check_item,item,교육이념-교육목적-교육목표가 체계적으로 제시되어 있는가(체계성),3fa00aeb78,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_1__checkpoints__item:2,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[1].content,item:2,items,2,,,check_item,item,교육목표가 명확하게 기술되어 있는가(명료성),93b65a003d,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_1__checkpoints__item:3,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[2].content,item:3,items,3,,,check_item,item,"교육목적, 교육목표를 실현하기 위한 인재상을 명확하게 정립하고 있는가(실천성)",b948871e84,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_1__checkpoints__item:3.sub:001,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[2].sub_items[0],item:3.sub:001,sub_items,3,1,c3__1_1__checkpoints__item:3,sub_item,sub_item,"교육목적, 교육목표, 인재상의 연계성",fc4ec56633,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_1__checkpoints__item:4,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[3].content,item:4,items,4,,,check_item,item,학생학습성과를 제고하기 위하여 어떻게 노력하고 있는가,70c7268504,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1;5,2
c3__1_1__checkpoints__item:4.sub:001,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[3].sub_items[0],item:4.sub:001,sub_items,4,1,c3__1_1__checkpoints__item:4,sub_item,sub_item,인재상에 부합하는 학생역량을 함양하기 위한 전반적인 제도와 프로그램,92dd8e1565,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1;5,2
c3__1_1__checkpoints__item:4.sub:002,source_verified,3,1.1,교육목표 및 인재상,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[3].sub_items[1],item:4.sub:002,sub_items,4,2,c3__1_1__checkpoints__item:4,sub_item,sub_item,학생역량 평가 및 환류 체계,f897292dc7,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1;5,2
c3__1_1__evidence__정보공시:001,source_verified,3,1.1,교육목표 및 인재상,evidence,근거자료,2026-04-20,cycle_3[0].정보공시[0].content,정보공시:001,정보공시,1,,,evidence_item,item,1-가. 학교규칙 및 그 밖에 학교운영에 관한 각종 규정,11c65e6cbc,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_1__evidence__제출자료_첨부:001,source_verified,3,1.1,교육목표 및 인재상,evidence,근거자료,2026-04-20,cycle_3[0].제출자료_첨부[0].content,제출자료_첨부:001,제출자료_첨부,1,,,evidence_item,item,대학요람,4c79229e5c,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_1__evidence__현지면담:001,source_verified,3,1.1,교육목표 및 인재상,evidence,근거자료,2026-04-20,cycle_3[0].현지면담[0].content,현지면담:001,현지면담,1,,,evidence_item,item,"교무처장, 기획처장",10ea650a1c,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_1__evidence__현지면담:002,source_verified,3,1.1,교육목표 및 인재상,evidence,근거자료,2026-04-20,cycle_3[0].현지면담[1].content,현지면담:002,현지면담,2,,,evidence_item,item,"대학구성원(교수, 직원, 학생)",c28f9155c1,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_1__evidence__현지확인자료:001,source_verified,3,1.1,교육목표 및 인재상,evidence,근거자료,2026-04-20,cycle_3[0].현지확인자료[0].content,현지확인자료:001,현지확인자료,1,,,evidence_item,item,학생학습성과 관리 및 운영 체계 관련 자료,0810732ee0,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_1__notes__item:1,source_verified,3,1.1,교육목표 및 인재상,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[0].items[0].content,item:1,items,1,,,caution_policy_item,item,"교육목적은 「고등교육법」 제28조의 대학 목적에 규정하고 있는 국가 사회의 요구와 시대적·학문적 요구 등을 반영해야 하며, 대학의 본질적 사명 구현도 반영해야 함",de8f14b8b2,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_1__notes__item:2,source_verified,3,1.1,교육목표 및 인재상,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[0].items[1].content,item:2,items,2,,,caution_policy_item,item,"교육목표는 누구나 손쉽게 이해하고 인식할 수 있고, 실제로 교육실천의 지침으로 활용되어야 한다는 점을 중시하여 그 개념적 명료성과 활용성 등에 대한 점검 및 진단에 중점을 둠",d5636a4885,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_1__notes__item:3,source_verified,3,1.1,교육목표 및 인재상,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[0].items[2].content,item:3,items,3,,,caution_policy_item,item,교육이념-교육목적-교육목표의 위계에 따라 구성하는 것이 원칙이나 대학에 따라서는 이념과 목적을 명확하게 구분하지 않고 이 중 어느 하나를 선택하는 경우도 있기 때문에 그 내용의 보편성과 타당성 중심의 점검 및 진단을 원칙으로 함,9ac6df6857,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_1__notes__item:4,source_verified,3,1.1,교육목표 및 인재상,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[0].items[3].content,item:4,items,4,,,caution_policy_item,item,학생학습성과는 대학의 교육이념과 교육목표에 근거하여 대학 스스로 설정한 각 인재상에 부합하는 학생역량을 의미함,e82ba54e68,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
