candidate_note_3,candidate_note_4,candidate_only_warning,change_categories,change_id,change_type,cycle3_criterion,cycle3_title,cycle4_criterion,cycle4_title,field_name_4,item_path_4,manual_review_required,section_label,section_type,similarity,source_id_3,source_id_4,source_text_3,source_text_4,verification_status,global_match_status,global_candidate_count,review_reason,human_review_status,official_confirmation_needed
,,Change type is heuristic unless verification_status is confirmed.,,chg_00001,신설후보,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,content,content,true,편람 개요,overview,0.582,c3__1_1__overview__content,c4__1_1__overview__content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 인재상에 도달할 수 있도록 학생학습성과 관리 체계를 구축하여 운영하고 있다.","대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",needs_review,weak_candidate,2,low_similarity_match;needs_review_status,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,범위확장,chg_00002,삭제/이동후보,1.2,발전계획,1.1,교육목표 및 발전계획,,,true,편람 개요,overview,,c3__1_2__overview__content,,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",,needs_review,weak_candidate,1,source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00003,신설후보,1.6,감사,1.2,거버넌스와 감사,content,content,true,편람 개요,overview,0.717,c3__1_6__overview__content,c4__1_2__overview__content,"대학은 대학경영 및 예산의 편성·집행이 합리적이고 투명하게 이루어질 수 있도록 엄격한 감사제도를 운영하고 있으며, 그 결과를 대학 운영에 충실히 반영하고 대학구성원이나 외부에 공개하고 있다. 또한 공익제보에 필요한 절차와 제도를 운영하고 있다.","대학은 합리적인 의사결정구조를 구축하고 운영하여 경쟁력을 강화하고 있으며, 대학 운영에 구성원의 참여와 소통이 원활하게 이루어지고 있다. 대학경영 및 예산의 편성·집행이 합리적이고 투명하게 이루어질 수 있도록 엄격한 감사제도를 운영하고, 감사 결과를 대학 운영에 충실히 반영하며 대학구성원과 외부에 공개하고 있다. 또한 대학은 공익제보에 필요한 절차와 제도를 자체적으로 운영하고 있다.",needs_review,possible_candidate,2,low_similarity_match;needs_review_status,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00004,삭제/이동후보,1.3,거버넌스,1.2,거버넌스와 감사,,,true,편람 개요,overview,,c3__1_3__overview__content,,대학은 합리적으로 대학 의사결정구조를 구축하고 운영하여 경쟁력을 강화하고 있다. 또한 대학 운영에 대학 구성원의 참여와 소통이 원활하게 이루어지고 있다.,,needs_review,weak_candidate,1,source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00005,변경,1.5,재정 집행,1.3,재정 확보 및 집행,content,content,true,편람 개요,overview,0.730,c3__1_5__overview__content,c4__1_3__overview__content,"대학은 확보된 재원을 효율적으로 운영하기 위한 계획을 수립하고, 합리적 절차에 따라 예산을 편성·집행하며 학생들을 위한 교육활동에 적절히 환원하고 있다. 또한 예산 편성·집행 결과를 평가하여 대학재정 운영에 반영하고 있다.","대학은 교육목표를 달성하기 위해 재정 운영 계획을 수립하고 이에 따라 필요한 재원을 안정적으로 확보하고 있으며, 지속적인 재원 확충을 위해 재원을 다양화하고 있다. 그리고 확보된 재원을 효율적으로 운영하기 위한 계획을 수립하고, 합리적 절차에 따라 예산을 편성·집행하며 학생들을 위한 교육활동에 적절히 환원하고 있다. 또한 예산 편성·집행 결과를 평가하여 대학재정 운영에 반영하고 있다.",needs_review,not_applicable,0,manual_complex_nm_criterion;needs_review_status,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00006,삭제/이동후보,1.4,재정 확보,1.3,재정 확보 및 집행,,,true,편람 개요,overview,,c3__1_4__overview__content,,"대학은 교육목표를 달성하기 위해 재정 운영 계획을 수립하고 이에 따라 필요한 재원을 안정적으로 확보하고 있으며, 지속적인 재원 확충을 위해 재원을 다양화하고 있다.",,needs_review,possible_candidate,1,source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,범위확장,chg_00007,변경,5.1,성과관리,1.4,성과관리체계 구축 및 운영,content,content,false,편람 개요,overview,0.831,c3__5_1__overview__content,c4__1_4__overview__content,"대학은 대학경영 및 교육 전반에 대한 질 관리를 위하여 주기적으로 대학 자체평가, 교육만족도 조사를 포함한 다양한 방식으로 성과관리를 하고 있으며, 그 결과를 교육과 대학 운영에 충실히 반영하고 대학구성원이나 외부에 공개하는 등의 성과관리체계를 운영하고 있다.","대학은 대학경영 및 교육·연구 전반에 대한 질 관리를 위하여 주기적으로 중장기 발전계획의 이행점검에 따른 성과평가, 대학 자체평가를 시행하는 등 다양한 방식으로 성과관리를 하고 있으며, 그 결과를 교육·연구와 대학 운영에 충실히 반영하고 대학 구성원이나 외부에 공개하는 등의 성과관리체계를 운영하고 있다.",candidate,not_applicable,0,candidate_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00008,신설후보,5.2,교육성과,1.5,교육성과,content,content,true,편람 개요,overview,0.627,c3__5_2__overview__content,c4__1_5__overview__content,"대학은 교육목적에 부합하는 학생을 충원하여 유지하고, 교육성과를 높이기 위한 노력을 기울이고 있다.","대학은 교육목적에 부합하는 학생을 충원하여 유지하고, 학생학습성과 관리 체계에 따른 운영과 교육만족도 조사 결과에 따른 환류 체계를 갖추고 있으며, 졸업생의 취·창업 및 진학 등 진로 성과를 높이기 위한 노력을 기울이고 있다.",needs_review,weak_candidate,4,manual_complex_nm_criterion;low_similarity_match;needs_review_status,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00009,삭제/이동후보,5.4,취·창업지원 및 성과,1.5,교육성과,,,true,편람 개요,overview,,c3__5_4__overview__content,,대학은 학생들의 진로와 취·창업을 위한 지원체계를 구축하고 예산과 전문 인력을 확보하여 운영하고 있으며 지속적인 개선을 위한 노력을 하고 있다.,,needs_review,strong_candidate,3,manual_complex_nm_criterion;source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00010,신설후보,5.5,사회봉사,1.6,사회공헌 및 지역사회 연계·협력,content,content,true,편람 개요,overview,0.671,c3__5_5__overview__content,c4__1_6__overview__content,대학은 건학이념과 교육목표에 부합하는 사회봉사 정책 및 계획을 마련하고 있으며 다양한 사회봉사 활동을 추진하고 있다.,"대학은 건학이념과 교육목표에 부합하는 사회봉사 정책 및 사회공헌 활동 계획 등을 마련하고 있고, 다양한 사회봉사 및 사회공헌 활동을 추진하고 있으며, 지역사회(대학) 및 해외기관과 긴밀히 교류하고 연계·협력 체계를 갖추고 있다.",needs_review,possible_candidate,2,low_similarity_match;needs_review_status,pending,true
