checklist_id,action_id,change_id,cycle4_criterion,cycle4_title,section_type,field_or_focus,primary_department,support_departments,data_period,metric_or_threshold,evidence_link,official_confirmation_needed,preparation_task
evidence_00016,act_00016,chg_00018,3.1,교원 확보 및 구성,overview,증빙,교무처,교원인사 담당부서,,,c4__3_1__overview__content,true,편람 개요 항목 검토 및 준비: 대학은 교원 임용정책과 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 교원을 확보하여 관리하고 있다.
evidence_00019,act_00019,chg_00026,4.2,학생 심리상담 및 권익 보호,overview,증빙,학생상담센터,인권센터;장애학생지원센터,,,c4__4_2__overview__content,true,"편람 개요 항목 검토 및 준비: 대학은 학생이 대학 생활에 적응할 수 있도록 예산과 전문 인력을 확보한 학생상담 체계를 구축하고 심리상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다. 그리고 대학은 학생의 권익을 보호하기 위한 규정과 체계를 구축하여 운영하고 있다. 또한 대학의 배려가 필요한 소수집단학생 지원을 위한 규정과 체계를 갖추고 다양한 시설과 지원 프로그램을 마련하여 효율적으로 운영하고 있다."
evidence_00023,act_00023,chg_00036,1.1,교육목표 및 발전계획,evidence,증빙,기획처,교무처,,,c4__1_1__evidence__제출자료_첨부:002,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획서
evidence_00024,act_00024,chg_00037,1.1,교육목표 및 발전계획,evidence,증빙,기획처,교무처,,,c4__1_1__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획 수립을 위한 구성원 의견 수렴 자료: 현재 발전계획 수립 당시
evidence_00025,act_00025,chg_00042,1.1,교육목표 및 발전계획,evidence,증빙,기획처,교무처,,,c3__1_1__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 학생학습성과 관리 및 운영 체계 관련 자료
evidence_00026,act_00026,chg_00043,1.1,교육목표 및 발전계획,evidence,실적기간;증빙,기획처,교무처,최근 3년;3년 자료,3년,c3__1_2__evidence__현지확인자료:003,true,근거자료 항목 검토 및 준비: 발전계획 평가결과와 반영 실적: 최근 3년 자료
evidence_00027,act_00027,chg_00044,1.1,교육목표 및 발전계획,evidence,면담;증빙,기획처,교무처,,,c3__1_2__evidence__현지면담:001,true,근거자료 항목 검토 및 준비: 기획처장
evidence_00028,act_00028,chg_00046,1.2,거버넌스와 감사,evidence,증빙,기획처,감사부서,,,c4__1_2__evidence__제출자료_관련규정:002,true,근거자료 항목 검토 및 준비: 공익제보 및 공익제보자 보호 제도 관련 규정
evidence_00029,act_00029,chg_00048,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 대학 구성원 참여 및 소통 체계 자료: 최근 3년 자료
evidence_00030,act_00030,chg_00049,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:003,true,근거자료 항목 검토 및 준비: 대학 구성원 참여 및 소통 추진 실적 과 환류 실적 자료: 최근 3년 자료
evidence_00031,act_00031,chg_00050,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:004,true,"근거자료 항목 검토 및 준비: 내·외부(교육부, 감사원 등) 감사보고서: 최근 3년 자료"
evidence_00032,act_00032,chg_00053,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:007,true,근거자료 항목 검토 및 준비: 공익제보 절차 및 공익제보자 보호 제도 구축·운영 자료: 최근 3년 자료
evidence_00033,act_00033,chg_00065,1.3,재정 확보 및 집행,evidence,증빙,기획처,재무회계팀,,,c3__1_5__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 8. 예・결산 내역 등 학교 및 법인의 회계에 관한 사항
evidence_00034,act_00034,chg_00066,1.3,재정 확보 및 집행,evidence,증빙,기획처,재무회계팀,,,c3__1_5__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 중장기 재정 운영 계획서
evidence_00035,act_00035,chg_00067,1.3,재정 확보 및 집행,evidence,실적기간;증빙,기획처,재무회계팀,최근 3년;3년 자료,3년,c3__1_5__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 예・결산보고서: 최근 3년 자료
