review_id,priority,risk_level,review_topic,review_reason,human_review_status,official_confirmation_needed,global_match_status,global_candidate_count,change_id,change_type,section_type,cycle4_criterion,cycle4_title,cycle3_criterion,cycle3_title,evidence_impact,metric_impact,department_candidate,source_id_4,source_id_3,top_candidate_source_id,top_candidate_score,recommended_next_step,candidate_only_warning
review_00414,1,high,1.1 교육목표 및 발전계획,target_only_new_or_move_review;needs_review_status,pending,true,weak_candidate,5,chg_00659,신설후보,checkpoints,1.1,교육목표 및 발전계획,,,false,false,"기획처, 교무처",c4__1_1__checkpoints__item:4.sub:004,,c3__1_1__checkpoints__item:3.sub:001,0.513,3주기 전역 후보와 대조하여 신설인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00415,1,high,1.1 교육목표 및 발전계획,target_only_new_or_move_review;needs_review_status,pending,true,no_candidate,0,chg_00660,신설후보,checkpoints,1.1,교육목표 및 발전계획,,,false,false,"기획처, 교무처",c4__1_1__checkpoints__item:4.sub:005,,c3__1_2__checkpoints__item:1.sub:001,0.292,3주기 전역 후보와 대조하여 신설인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00417,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status,pending,true,weak_candidate,5,chg_00665,이동후보,checkpoints,1.1,교육목표 및 발전계획,1.1,교육목표 및 인재상,false,false,"기획처, 교무처",,c3__1_1__checkpoints__item:4,c4__1_5__checkpoints__item:3,0.411,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00420,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status,pending,true,weak_candidate,5,chg_00668,삭제/이동후보,checkpoints,1.1,교육목표 및 발전계획,1.2,발전계획,false,false,"기획처, 교무처",,c3__1_2__checkpoints__item:3,c4__2_4__checkpoints__item:3,0.565,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00421,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status,pending,true,weak_candidate,3,chg_00669,삭제/이동후보,checkpoints,1.1,교육목표 및 발전계획,1.2,발전계획,false,false,"기획처, 교무처",,c3__1_2__checkpoints__item:3.sub:001,c4__2_5__checkpoints__item:4.sub:001,0.508,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00422,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status,pending,true,weak_candidate,5,chg_00670,삭제/이동후보,checkpoints,1.1,교육목표 및 발전계획,1.2,발전계획,false,false,"기획처, 교무처",,c3__1_2__checkpoints__item:3.sub:002,c4__2_1__evidence__현지확인자료:002,0.458,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00023,1,high,1.1 교육목표 및 발전계획,low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true,weak_candidate,5,chg_00036,신설후보,evidence,1.1,교육목표 및 발전계획,1.2,발전계획,true,false,"기획처, 교무처",c4__1_1__evidence__제출자료_첨부:002,c3__1_2__evidence__제출자료_첨부:001,c3__1_2__evidence__제출자료_첨부:001,0.582,부서 공지 전 공식 기준·증빙 범위 확인,"Review queue rows are operational triage candidates, not final judgments."
review_00025,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true,strong_candidate,4,chg_00042,이동후보,evidence,1.1,교육목표 및 발전계획,1.1,교육목표 및 인재상,true,false,"기획처, 교무처",,c3__1_1__evidence__현지확인자료:001,c4__1_5__evidence__현지확인자료:001,0.893,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00026,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true,weak_candidate,5,chg_00043,이동후보,evidence,1.1,교육목표 및 발전계획,1.2,발전계획,true,true,"기획처, 교무처",,c3__1_2__evidence__현지확인자료:003,c4__1_4__evidence__현지확인자료:001,0.613,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00027,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true,strong_candidate,4,chg_00044,삭제/이동후보,evidence,1.1,교육목표 및 발전계획,1.2,발전계획,true,false,"기획처, 교무처",,c3__1_2__evidence__현지면담:001,c4__1_2__evidence__현지면담:001,1.000,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
review_00258,1,high,1.1 교육목표 및 발전계획,low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true,possible_candidate,1,chg_00467,신설후보,notes,1.1,교육목표 및 발전계획,1.2,발전계획,true,true,"기획처, 교무처",c4__1_1__notes__item:5,c3__1_2__notes__item:1,c3__1_2__notes__item:1,0.746,부서 공지 전 공식 기준·증빙 범위 확인,"Review queue rows are operational triage candidates, not final judgments."
review_00261,1,high,1.1 교육목표 및 발전계획,source_only_delete_or_move_review;needs_review_status,pending,true,no_candidate,0,chg_00470,삭제후보,notes,1.1,교육목표 및 발전계획,1.2,발전계획,false,false,"기획처, 교무처",,c3__1_2__notes__item:2,c4__3_3__notes__item:6,0.300,4주기 전역 후보와 대조하여 삭제인지 이동인지 판정,"Review queue rows are operational triage candidates, not final judgments."
