mapping_id,cycle4_criterion,cycle4_title,cycle3_criterion,cycle3_title,section_types,raw_mapping_types,raw_group_ids,candidate_basis,title_similarity,manual_review_required,verification_status,confirmed_mapping_type,candidate_only_warning
map__c4_1_1__c3_1_1,1.1,교육목표 및 발전계획,1.1,교육목표 및 인재상,checkpoints;evidence;notes;overview;report,통합 (N:1),1,json_group_membership_unverified;same_criterion_number,0.588,false,candidate,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_1__c3_1_2,1.1,교육목표 및 발전계획,1.2,발전계획,checkpoints;evidence;notes;overview;report,통합 (N:1),1,json_group_membership_unverified,0.615,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_2__c3_1_3,1.2,거버넌스와 감사,1.3,거버넌스,checkpoints;evidence;notes;overview;report,통합 (N:1),2,json_group_membership_unverified,0.727,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_2__c3_1_6,1.2,거버넌스와 감사,1.6,감사,checkpoints;evidence;notes;overview;report,통합 (N:1),2,json_group_membership_unverified,0.444,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_3__c3_1_4,1.3,재정 확보 및 집행,1.4,재정 확보,checkpoints;evidence;notes;overview;report,통합 (N:1),3,json_group_membership_unverified,0.727,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_3__c3_1_5,1.3,재정 확보 및 집행,1.5,재정 집행,checkpoints;evidence;notes;overview;report,통합 (N:1),3,json_group_membership_unverified,0.727,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_4__c3_5_1,1.4,성과관리체계 구축 및 운영,5.1,성과관리,checkpoints;evidence;notes;overview;report,이동 (1:1);이동·확장 (1:1),4,json_group_membership_unverified,0.533,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_1_1,1.5,교육성과,1.1,교육목표 및 인재상 (이동 항목),checkpoints,통합 (N:1),5,json_group_membership_unverified,0.250,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_5_1,1.5,교육성과,5.1,성과관리 (이동 항목),checkpoints,통합 (N:1),5,json_group_membership_unverified,0.333,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_5_2,1.5,교육성과,5.2,교육성과,checkpoints;evidence;notes;overview;report,이동·통합 (N:1);통합 (N:1),5,json_group_membership_unverified;near_exact_title_match,1.000,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_5_4,1.5,교육성과,5.4,취·창업지원 및 성과,checkpoints;evidence;notes;overview;report,이동·통합 (N:1);통합 (N:1),5,json_group_membership_unverified,0.317,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
