candidate_id,candidate_type,verification_status,candidate_only_warning,section_type,section_label,source_file,source_file_date,input_index,json_path,source_id,ai_group_id,ai_theme,ai_mapping_type,ai_mapping_note,cycle4_criterion,cycle4_title,cycle_context,criterion_context,title_context
cand_00001,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,1,$,,1,교육목표 및 발전계획,통합 (N:1),3주기 1.1(교육목표·인재상)과 1.2(발전계획)이 4주기 1.1로 통합됨,1.1,교육목표 및 발전계획,,,
cand_00002,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,2,$,,2,거버넌스와 감사,통합 (N:1),3주기 1.3(거버넌스)과 1.6(감사)이 4주기 1.2로 통합됨,1.2,거버넌스와 감사,,,
cand_00003,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,3,$,,3,재정 확보 및 집행,통합 (N:1),3주기 1.4(재정 확보)와 1.5(재정 집행)이 4주기 1.3으로 통합됨,1.3,재정 확보 및 집행,,,
cand_00004,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,4,$,,4,성과관리체계,이동 (1:1),3주기 5.1(5영역 성과관리)이 4주기 1.4(1영역 대학경영)으로 영역 이동됨,1.4,성과관리체계 구축 및 운영,,,
cand_00005,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,5,$,,5,교육성과,이동·통합 (N:1),3주기 5.2(교육성과)와 5.4(취·창업지원 및 성과) 중 취창업·진학 '성과' 측면이 4주기 1.5로 통합됨. 5.4의 '지원체계' 측면은 4주기 4.3으로 별도 이동됨,1.5,교육성과,,,
cand_00006,cycle_partial_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,5,cycle_3[1].partial_mapping_note,,,,,"5.4 중 취창업·진학 '성과' 측면은 4주기 1.5에, '지원체계' 측면은 4주기 4.3에 대응",,,3,5.4,취·창업지원 및 성과
cand_00007,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,6,$,,6,사회공헌 및 지역사회 연계·협력,통합·이동 (N:1),3주기 5.5(사회봉사)와 5.6(지역사회 연계·협력)이 4주기 1.6으로 통합되며 영역 이동됨,1.6,사회공헌 및 지역사회 연계·협력,,,
cand_00008,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,7,$,,7,교육과정 체계,유지 (1:1),준거번호 및 내용 유지. 4주기에서 '비교과과정' 문구 삭제 및 '주기적 개선' 표현 추가,2.1,교육과정 체계,,,
cand_00009,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,8,$,,8,교양교육과정,유지 (1:1),준거번호 및 내용 유지. 4주기에서 '비교과과정' 문구 삭제,2.2,교양교육과정,,,
cand_00010,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,9,$,,9,전공교육과정,유지 (1:1),준거번호 및 내용 유지. 4주기에서 '비교과과정' 문구 삭제,2.3,전공교육과정,,,
