match_id,change_id,rank,candidate_direction,query_source_id,query_cycle,query_criterion,query_title,query_section_type,query_field_name,query_text,candidate_source_id,candidate_cycle,candidate_criterion,candidate_title,candidate_section_type,candidate_field_name,candidate_text,score,difflib_similarity,ngram_jaccard,token_overlap,section_match,field_match,criterion_mapping_match,match_reason,candidate_only_warning
gmatch_000001,chg_00001,1,c4_to_c3,c4__1_1__overview__content,4,1.1,교육목표 및 발전계획,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",c3__1_1__overview__content,3,1.1,교육목표 및 인재상,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 인재상에 도달할 수 있도록 학생학습성과 관리 체계를 구축하여 운영하고 있다.",0.598,0.582,0.333,0.375,true,true,true,difflib=0.582;ngram=0.333;token=0.375;same_section;same_field;criterion_mapping_candidate,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000002,chg_00001,2,c4_to_c3,c4__1_1__overview__content,4,1.1,교육목표 및 발전계획,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",c3__1_2__overview__content,3,1.2,발전계획,overview,content,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",0.496,0.487,0.229,0.184,true,true,true,difflib=0.487;ngram=0.229;token=0.184;same_section;same_field;criterion_mapping_candidate,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000003,chg_00001,3,c4_to_c3,c4__1_1__overview__content,4,1.1,교육목표 및 발전계획,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",c3__1_4__overview__content,3,1.4,재정 확보,overview,content,"대학은 교육목표를 달성하기 위해 재정 운영 계획을 수립하고 이에 따라 필요한 재원을 안정적으로 확보하고 있으며, 지속적인 재원 확충을 위해 재원을 다양화하고 있다.",0.312,0.308,0.164,0.162,true,true,false,difflib=0.308;ngram=0.164;token=0.162;same_section;same_field,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000004,chg_00001,4,c4_to_c3,c4__1_1__overview__content,4,1.1,교육목표 및 발전계획,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",c3__2_2__overview__content,3,2.2,교양교육과정,overview,content,대학은 교육목표와 인재상을 실현하고 학생의 선택권을 보장할 수 있는 교양교육과정(비교과과정 포함)을 편성하여 운영하고 있다.,0.301,0.340,0.102,0.114,true,true,false,difflib=0.340;ngram=0.102;token=0.114;same_section;same_field,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000005,chg_00001,5,c4_to_c3,c4__1_1__overview__content,4,1.1,교육목표 및 발전계획,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",c3__5_5__overview__content,3,5.5,사회봉사,overview,content,대학은 건학이념과 교육목표에 부합하는 사회봉사 정책 및 계획을 마련하고 있으며 다양한 사회봉사 활동을 추진하고 있다.,0.300,0.333,0.088,0.156,true,true,false,difflib=0.333;ngram=0.088;token=0.156;same_section;same_field,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000006,chg_00002,1,c3_to_c4,c3__1_2__overview__content,3,1.2,발전계획,overview,content,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",c4__1_1__overview__content,4,1.1,교육목표 및 발전계획,overview,content,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 교육목표를 달성하기 위해 대학구성원의 요구분석 등에 근거하여 실현가능한 중장기 발전계획을 수립하여 추진하고 있다.",0.496,0.487,0.229,0.184,true,true,true,difflib=0.487;ngram=0.229;token=0.184;same_section;same_field;criterion_mapping_candidate,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000007,chg_00002,2,c3_to_c4,c3__1_2__overview__content,3,1.2,발전계획,overview,content,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",c4__1_4__overview__content,4,1.4,성과관리체계 구축 및 운영,overview,content,"대학은 대학경영 및 교육·연구 전반에 대한 질 관리를 위하여 주기적으로 중장기 발전계획의 이행점검에 따른 성과평가, 대학 자체평가를 시행하는 등 다양한 방식으로 성과관리를 하고 있으며, 그 결과를 교육·연구와 대학 운영에 충실히 반영하고 대학 구성원이나 외부에 공개하는 등의 성과관리체계를 운영하고 있다.",0.326,0.369,0.123,0.154,true,true,false,difflib=0.369;ngram=0.123;token=0.154;same_section;same_field,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000008,chg_00002,3,c3_to_c4,c3__1_2__overview__content,3,1.2,발전계획,overview,content,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",c4__1_2__overview__content,4,1.2,거버넌스와 감사,overview,content,"대학은 합리적인 의사결정구조를 구축하고 운영하여 경쟁력을 강화하고 있으며, 대학 운영에 구성원의 참여와 소통이 원활하게 이루어지고 있다. 대학경영 및 예산의 편성·집행이 합리적이고 투명하게 이루어질 수 있도록 엄격한 감사제도를 운영하고, 감사 결과를 대학 운영에 충실히 반영하며 대학구성원과 외부에 공개하고 있다. 또한 대학은 공익제보에 필요한 절차와 제도를 자체적으로 운영하고 있다.",0.271,0.234,0.077,0.085,true,true,false,difflib=0.234;ngram=0.077;token=0.085;same_section;same_field;same_criterion_number,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000009,chg_00002,4,c3_to_c4,c3__1_2__overview__content,3,1.2,발전계획,overview,content,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",c4__1_3__overview__content,4,1.3,재정 확보 및 집행,overview,content,"대학은 교육목표를 달성하기 위해 재정 운영 계획을 수립하고 이에 따라 필요한 재원을 안정적으로 확보하고 있으며, 지속적인 재원 확충을 위해 재원을 다양화하고 있다. 그리고 확보된 재원을 효율적으로 운영하기 위한 계획을 수립하고, 합리적 절차에 따라 예산을 편성·집행하며 학생들을 위한 교육활동에 적절히 환원하고 있다. 또한 예산 편성·집행 결과를 평가하여 대학재정 운영에 반영하고 있다.",0.253,0.263,0.062,0.103,true,true,false,difflib=0.263;ngram=0.062;token=0.103;same_section;same_field,Global matching is heuristic and must be reviewed before accreditation judgment.
gmatch_000010,chg_00002,5,c3_to_c4,c3__1_2__overview__content,3,1.2,발전계획,overview,content,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",c4__2_5__overview__content,4,2.5,수업,overview,content,대학은 교수가 적정 시수 범위에서 수업을 담당하도록 하고 수업을 지원하는 정보체계를 운영하며 수업에 대한 평가를 실시하여 수업의 질을 지속적으로 향상하고 있다.,0.245,0.250,0.056,0.105,true,true,false,difflib=0.250;ngram=0.056;token=0.105;same_section;same_field,Global matching is heuristic and must be reviewed before accreditation judgment.
